12849500,4869500	1
12849500,4870500	2
12849500,4871500	19
12849500,4872500	14
12849500,4873500	1
12849500,4874500	15
12849500,4875500	25
12849500,4876500	4
12849500,4887500	1
12849500,4889500	1
12849500,4894500	63
12849500,4895500	13
12849500,4896500	16
12849500,4899500	2
12849500,4902500	27
12849500,4903500	140
12849500,4904500	58
12849500,4905500	2
12849500,4906500	2
12849500,4908500	22
12849500,4936500	126
12849500,4937500	3
12849500,4938500	1
12849500,4939500	5
12849500,4951500	13
12849500,4973500	4
12849500,4978500	6
12849500,4784500	1
12849500,4785500	1
12849500,4793500	6
12849500,4794500	15
12849500,4796500	16
12849500,4798500	9
12849500,4799500	1
12849500,4800500	66
12849500,4801500	72
12849500,4806500	1
12849500,4807500	2
12849500,4809500	15
12849500,4810500	81
12849500,4763500	3
12849500,4811500	50
12849500,4812500	33
12849500,4813500	8
12849500,4764500	1
12849500,4840500	1
12849500,4842500	1
12849500,4843500	1
12849500,4844500	2
12849500,4845500	1
12849500,4846500	1
12949500,4758500	568
12949500,4858500	61
12949500,4859500	298
12949500,4860500	331
12949500,4861500	40
12949500,4862500	82
12949500,4768500	500
12949500,4863500	378
12949500,4864500	364
12949500,4865500	164
12949500,4866500	54
12949500,4867500	31
12949500,4868500	71
12949500,4769500	114
12949500,4869500	6
12949500,4870500	19
12949500,4871500	34
12949500,4872500	19
12949500,4874500	2
12949500,4876500	1
12949500,4770500	133
12949500,4759500	246
12949500,4771500	19
12949500,4892500	5
12949500,4898500	14
12949500,4899500	2
12949500,4772500	25
12949500,4907500	4
12949500,4773500	105
12949500,4919500	3
12949500,4774500	171
12949500,4775500	100
12949500,4936500	1
12949500,4937500	4
12949500,4938500	6
12949500,4939500	3
12949500,4776500	65
12949500,4777500	6
12949500,4778500	41
12949500,4779500	56
12949500,4780500	19
12949500,4781500	25
12949500,4782500	137
12949500,4783500	62
12949500,4760500	566
12949500,4784500	254
12949500,4785500	589
12949500,4786500	395
12949500,4787500	536
12949500,4788500	388
12949500,4789500	302
12949500,4790500	495
12949500,4791500	1189
12949500,4792500	1047
12949500,4793500	1318
12949500,4794500	957
12949500,4795500	635
12949500,4796500	121
12949500,4761500	93
12949500,4797500	468
12949500,4798500	192
12949500,4762500	10
12949500,4799500	448
12949500,4800500	820
12949500,4801500	267
12949500,4802500	1169
12949500,4803500	1324
12949500,4804500	756
12949500,4805500	555
12949500,4806500	933
12949500,4807500	964
12949500,4808500	779
12949500,4809500	629
12949500,4810500	62
12949500,4763500	301
12949500,4811500	82
12949500,4812500	146
12949500,4813500	234
12949500,4814500	1137
12949500,4815500	795
12949500,4816500	2732
12949500,4817500	2137
12949500,4818500	1331
12949500,4819500	1253
12949500,4820500	1193
12949500,4821500	2608
12949500,4822500	3673
12949500,4823500	5348
