lng,lat,time
115.49505828339,33.858929706672,1473178633
115.49505828339,33.858929706672,1473179913
115.49505828339,33.858929706672,1473181193
115.49505828339,33.858929706672,1473180827
115.49505828339,33.858929706672,1473178268
115.49505828339,33.858929706672,1473179548
115.49505828339,33.858929706672,1473180461
115.49505828339,33.858929706672,1473177902
115.49505828339,33.858929706672,1473179182
115.49505828339,33.858929706672,1473178816
115.49505828339,33.858929706672,1473180097
115.49505828339,33.858929706672,1473181010
115.49505828339,33.858929706672,1473178451
115.49505828339,33.858929706672,1473179731
115.49505828339,33.858929706672,1473180644
115.49505828339,33.858929706672,1473178085
115.49505828339,33.858929706672,1473179365
115.49505828339,33.858929706672,1473180278
115.49505828339,33.858929706672,1473177719
115.49505828339,33.858929706672,1473178999
121.27651955327,31.0927254596,1473180518
121.27660533941,31.092730346518,1473179970
121.27651660024,31.092750394018,1473179421
121.27647573238,31.092744037912,1473179238
121.27654959928,31.092734698918,1473180337
121.27660047343,31.092735455291,1473179786
121.27648679502,31.092709954807,1473181067
121.27652552262,31.092742338745,1473178689
121.27662236864,31.09271070231,1473178506
121.27651254573,31.092755239528,1473178149
121.27649874076,31.092751038784,1473179055
121.27654744471,31.092745531654,1473178324
121.27645488184,31.092729731917,1473180701
121.27659152984,31.09272098933,1473179603
121.27646384243,31.09276183347,1473177967
121.27648983453,31.092776188252,1473178872
121.27652956579,31.092725554621,1473177775
121.27646272962,31.092729805944,1473180884
121.27652256316,31.092760489817,1473180152
110.31000936585,25.273571181686,1473180253
110.31023734471,25.273486914063,1473178243
110.31023734471,25.273486914063,1473178060
110.31015310741,25.273594873679,1473180984
110.31012249914,25.273714432075,1473179522
110.31010660712,25.273531628247,1473179156
110.31010660712,25.273531628247,1473179339
110.31009046749,25.273611083199,1473181168
110.31025556332,25.273512651763,1473180801
110.31034299791,25.273479489739,1473177877
110.31034809957,25.27355534341,1473177694
110.31021926991,25.27359704735,1473180619
110.31004639434,25.273572748172,1473180436
110.31009953336,25.27352577713,1473179704
110.31025258818,25.273491546477,1473180070
110.31030774907,25.273610787501,1473178609
110.31021740721,25.273551244232,1473178460
110.31003527815,25.273522756454,1473179887
110.31016918893,25.273576982805,1473178792
121.5737957915,31.339448138031,1473180692
121.57376179557,31.33941663643,1473178501
121.57381453837,31.339441220325,1473180509
121.57380095132,31.339443217186,1473179596
121.57375365253,31.339429446765,1473178135
121.57381263279,31.339437164166,1473180874
121.57382052518,31.339451216247,1473179413
121.57380748166,31.339453209279,1473177953
121.57381454452,31.33944908867,1473180144
121.57375282789,31.339417514399,1473178683
121.57386267943,31.339488626141,1473179048
121.57381454685,31.339452073214,1473179778
121.57375881377,31.339426425375,1473178318
121.57379087079,31.339411273274,1473177770
121.57381561124,31.339423033917,1473181057
121.57381454622,31.339451259248,1473179961
121.57383875722,31.33948093053,1473178866
121.57382271483,31.339471007124,1473179231
121.57380963779,31.339430131269,1473180326
110.2991058688,25.267744759064,1473180807
110.29919279631,25.267832785627,1473177884
110.29917191248,25.267779039889,1473178067
110.29922792042,25.267788745982,1473179163
110.29922792042,25.267788745982,1473179007
110.29910972065,25.267700783491,1473180258
110.29913369511,25.267923455563,1473179893
110.29912269474,25.267777666512,1473180441
110.29915992807,25.267798151974,1473179345
110.29909273649,25.26782300465,1473180076
110.29909996162,25.267671055173,1473180989
110.29909996162,25.267671055173,1473181172
110.29910776623,25.267750705304,1473177702
110.29912187286,25.267783641691,1473180624
110.29911964125,25.267838719298,1473179710
110.29919488301,25.267919818884,1473179528
115.33606571305,34.467127696505,1473179418
115.33607794654,34.46711565212,1473179783
115.33607794002,34.467101544256,1473177956
115.33605156274,34.467111541652,1473179600
115.33609100615,34.467125576175,1473178504
115.33607904047,34.467128665248,1473178870
115.33606272368,34.467132877428,1473180148
